Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Toyota,FJ,2015,Saudi,White,Full,4.0,Gas,Automatic,259880.0,Riyadh,89000.0
Kia,Cadenza,2019,Saudi,Brown,Standard,3.3,Gas,Automatic,73000.0,Riyadh,65000.0
GMC,Yukon,2011,Saudi,Silver,Semi Full,1.0,Gas,Automatic,600000.0,Riyadh,36000.0
Hyundai,Kona,2019,Saudi,Grey,Full,1.0,Gas,Automatic,22000.0,Riyadh,77000.0
Toyota,Avalon,2016,Other,White,Semi Full,3.5,Gas,Automatic,123000.0,Riyadh,93000.0
Dodge,Charger,2018,Saudi,Red,Standard,3.6,Gas,Automatic,79000.0,Riyadh,79000.0
Hyundai,Senta fe,2016,Saudi,Brown,Semi Full,3.3,Gas,Automatic,126000.0,Riyadh,63000.0
Toyota,FJ,2013,Saudi,Bronze,Semi Full,1.0,Gas,Automatic,154000.0,Riyadh,77000.0
Chrysler,C300,2017,Saudi,Grey,Full,5.7,Gas,Automatic,130000.0,Riyadh,88000.0
Kia,Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,40000.0,Riyadh,55000.0
Hyundai,Azera,2016,Saudi,White,Semi Full,3.0,Gas,Automatic,130000.0,Riyadh,50000.0
Suzuki,APV,2016,Saudi,Black,Standard,1.5,Gas,Manual,110000.0,Riyadh,29500.0
Honda,Accord,2016,Saudi,Brown,Full,1.0,Gas,Automatic,116000.0,Riyadh,62000.0
Peugeot,3008,2018,Saudi,Brown,Full,1.0,Gas,Automatic,30000.0,Riyadh,79000.0
Kia,Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,145000.0,Riyadh,63000.0
Cadillac,SRX,2016,Saudi,Black,Full,3.5,Gas,Automatic,83000.0,Riyadh,70000.0
Kia,Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,43629.0,Jeddah,43500.0
Nissan,Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,106036.0,Riyadh,25900.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,104688.0,Riyadh,26000.0
Nissan,Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,86754.0,Riyadh,26000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105509.0,Riyadh,26000.0
Chevrolet,Traverse,2017,Saudi,Silver,Semi Full,2.4,Gas,Automatic,110000.0,Riyadh,49000.0
Honda,Accord,2017,Saudi,White,Standard,1.0,Gas,Automatic,63000.0,Riyadh,88000.0
Genesis,G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,183000.0,Riyadh,85000.0
Honda,Accord,2012,Saudi,White,Standard,1.0,Gas,Automatic,251000.0,Riyadh,38000.0
Hyundai,Sonata,2018,Saudi,Red,Standard,2.5,Gas,Automatic,63000.0,Riyadh,58000.0
Kia,Optima,2016,Saudi,Black,Semi Full,2.4,Gas,Automatic,91000.0,Riyadh,45000.0
Hyundai,Sonata,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,130000.0,Riyadh,50000.0
GMC,Sierra,2011,Other,Silver,Semi Full,6.0,Gas,Automatic,258000.0,Riyadh,50000.0
Honda,Accord,2017,Saudi,Grey,Semi Full,1.0,Gas,Automatic,126000.0,Riyadh,75000.0
Mercedes,S,2007,Saudi,Black,Full,3.5,Gas,Automatic,243000.0,Riyadh,45000.0
Ford,F150,2012,Saudi,Black,Standard,3.0,Gas,Automatic,352000.0,Riyadh,38000.0
Toyota,Land Cruiser,2003,Saudi,Golden,Full,4.5,Gas,Automatic,629000.0,Riyadh,40000.0
Nissan,Maxima,2017,Saudi,White,Full,1.0,Gas,Automatic,135000.0,Riyadh,73000.0
Toyota,Land Cruiser,2014,Saudi,White,Full,4.0,Gas,Automatic,210600.0,Riyadh,120000.0
Hyundai,Sonata,2016,Saudi,Brown,Full,2.0,Gas,Automatic,104000.0,Riyadh,58000.0
Ford,Explorer,2016,Gulf Arabic,Silver,Semi Full,3.5,Gas,Automatic,112000.0,Riyadh,83000.0
Hyundai,Genesis,2017,Other,Blue,Standard,3.8,Gas,Automatic,128000.0,Riyadh,83000.0
Toyota,Corolla,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,370000.0,Riyadh,30000.0
Honda,Accord,2017,Saudi,Navy,Semi Full,2.4,Gas,Automatic,223000.0,Riyadh,75000.0
Kia,Cerato,2017,Saudi,White,Standard,1.6,Gas,Automatic,72000.0,Riyadh,37500.0
Ford,Taurus,2018,Saudi,White,Standard,2.0,Gas,Automatic,71000.0,Riyadh,77000.0
Lexus,NX,2017,Gulf Arabic,Black,Full,2.0,Gas,Automatic,63000.0,Dammam,174000.0
Hyundai,Elantra,2019,Saudi,White,Semi Full,1.6,Gas,Automatic,59700.0,Dammam,54500.0
Hyundai,Senta fe,2020,Saudi,Grey,Standard,2.4,Gas,Automatic,93000.0,Riyadh,82000.0
Mercedes,C,2015,Saudi,Silver,Semi Full,2.0,Gas,Automatic,73000.0,Riyadh,90000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,96341.0,Riyadh,26000.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,87775.0,Riyadh,26000.0
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,89136.0,Riyadh,26000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,71913.0,Riyadh,26500.0
MG,RX5,2019,Saudi,White,Full,1.5,Gas,Automatic,39000.0,Jeddah,56000.0
Genesis,G70,2019,Saudi,Grey,Semi Full,2.0,Gas,Automatic,11000.0,Riyadh,109000.0
Ford,Flex,2012,Saudi,Silver,Semi Full,3.5,Gas,Automatic,277000.0,Dammam,30000.0
GMC,Yukon,2015,Saudi,White,Full,5.3,Gas,Automatic,200000.0,Dammam,150000.0
GMC,Yukon,2016,Other,White,Full,6.2,Gas,Automatic,126000.0,Riyadh,176000.0
Lexus,UX,2019,Gulf Arabic,Blue,Full,2.0,Gas,Automatic,7000.0,Dammam,165000.0
Toyota,Camry,2016,Saudi,White,Semi Full,2.5,Gas,Automatic,238000.0,Jeddah,48500.0
Mercedes,C,2016,Other,White,Full,2.0,Gas,Automatic,84000.0,Dammam,129000.0
Toyota,Yaris,2015,Saudi,White,Standard,1.4,Gas,Automatic,193000.0,Dammam,25000.0
Toyota,Dyna,1987,Saudi,White,Standard,3.5,Gas,Manual,1100000.0,Aseer,6000.0
